208947788	1513076008	1513097714
208676492	1512986170	1513011209
208426917	1512909217	1512928710
208116595	1512824202	1512843133
207791064	1512736912	1512755272
207506801	1512648861	1512667978
207240159	1512561608	1512581889
206957440	1512472733	1512494075
206709126	1512395530	1512412758
206434811	1512303774	1512323656
206139236	1512222781	1512238867
205819647	1512128254	1512148522
205535490	1512031675	1512057261
205300184	1511961836	1511978841
205015497	1511863480	1511887228
201227398	1510665390	1510680978
200969537	1510578126	1510591780
200730905	1510496459	1510506583
200191015	1510344038	1510345041
200153446	1510329676	1510337289
